"","MeanValue","MeanValue2","Genotype","Condition"
"1",0.10698168336216,0.176643750000001,"10ere","0"
"2",0.0777233228347456,0.120793859649122,"10ere","0"
"3",0.129906796594093,0.242612068965516,"10ere","0"
"4",0.0823410526717119,0.164778523489933,"10ere","0"
"5",0.293488860784262,0.354590038314176,"10ere","0"
"6",0.114720492783522,0.143069053708439,"10ere","0"
"7",0.043408363581197,0.0852253521126763,"10ere","0"
"8",9.29284458526785,11.9911641468683,"10ere","2000"
"9",8.77768183402955,14.4980515970516,"10ere","2000"
"10",9.27232830471238,12.4693698979592,"10ere","2000"
"11",8.21510584068659,12.2847645502646,"10ere","2000"
"12",23.1926971317788,28.5148406779661,"10ere","2000"
"13",14.0990566449371,19.1443112582781,"10ere","200"
"14",14.499080443827,21.7058920863309,"10ere","200"
"15",13.6701125307333,16.0191071428571,"10ere","200"
"16",11.4378740152869,13.7739808917197,"10ere","200"
"17",5.95574313081645,9.96332298136646,"10ere","200"
"18",15.4736232374986,21.5670887573965,"10ere","200"
"19",10.9608113497906,11.8657512437811,"10ere","200"
"20",1.0470472805801,1.89736764705882,"10ere","20"
"21",0.550510622731703,1.00321621621622,"10ere","20"
"22",0.536455361861635,1.40853284671533,"10ere","20"
"23",0.227806872610992,0.724897637795276,"10ere","20"
"24",0.0614721430811859,0.454408695652175,"10ere","20"
"25",1.26341143799578,1.84269791666667,"10ere","20"
