"","MeanValue","Genotype","Age","Condition"
"1",3.28230134952718,"gbe10ere","24h","0"
"2",2.91552412923827,"gbe10ere","24h","0"
"3",5.05158061510118,"gbe10ere","24h","0"
"4",2.61407216805919,"gbe10ere","24h","0"
"5",3.39952949114034,"gbe10ere","24h","0"
"6",2.70915262416856,"gbe10ere","24h","0"
"7",3.90972101357799,"gbe10ere","24h","0"
"8",10.8009095269087,"gbe10ere","24h","20"
"9",9.62832937553363,"gbe10ere","24h","20"
"10",9.9650544536757,"gbe10ere","24h","20"
"11",12.2353548159233,"gbe10ere","24h","20"
"12",9.68809685544536,"gbe10ere","24h","20"
"13",16.0538889763253,"gbe10ere","24h","20"
"14",9.64664686553086,"gbe10ere","24h","20"
"15",45.2177148470066,"gbe10ere","24h","200"
"16",32.7648759408625,"gbe10ere","24h","200"
"17",44.1188118134838,"gbe10ere","24h","200"
"18",33.0885041911116,"gbe10ere","24h","200"
"19",31.0594346620552,"gbe10ere","24h","200"
"20",57.5198250056868,"gbe10ere","24h","200"
"21",59.4353577224152,"gbe10ere","24h","200"
"22",43.2138041301503,"gbe10ere","24h","2000"
"23",56.3872468724879,"gbe10ere","24h","2000"
"24",45.2884728371163,"gbe10ere","24h","2000"
"25",58.0576211190798,"gbe10ere","24h","2000"
"26",55.1523847886956,"gbe10ere","24h","2000"
"27",45.980854834443,"gbe10ere","24h","2000"
"28",6.90560501439226,"gbemut","24h","0"
"29",6.46574934514787,"gbemut","24h","0"
"30",8.11423984492822,"gbemut","24h","0"
"31",1.60293245459956,"gbemut","24h","0"
"32",5.13266425955435,"gbemut","24h","0"
"33",10.101090504443,"gbemut","24h","0"
"34",9.65672608995773,"gbemut","24h","0"
"35",13.2994150654574,"gbemut","24h","20"
"36",9.73001255613528,"gbemut","24h","20"
"37",4.1530352195588,"gbemut","24h","20"
"38",4.63446938236627,"gbemut","24h","20"
"39",9.27365585436972,"gbemut","24h","20"
"40",7.59250065699649,"gbemut","24h","20"
"41",5.2471199784079,"gbemut","24h","20"
"42",1.89606896310476,"gbemut","24h","20"
"43",5.44572883261263,"gbemut","24h","200"
"44",7.51428152953133,"gbemut","24h","200"
"45",7.41748365224016,"gbemut","24h","200"
"46",6.99067628201517,"gbemut","24h","200"
"47",11.7061047569857,"gbemut","24h","200"
"48",8.10749743350315,"gbemut","24h","200"
"49",7.6693468481558,"gbemut","24h","2000"
"50",5.95351480151519,"gbemut","24h","2000"
"51",5.37364110984447,"gbemut","24h","2000"
"52",4.64055497966283,"gbemut","24h","2000"
"53",13.2486961244363,"gbemut","24h","2000"
"54",9.23767437855577,"gbemut","24h","2000"
